"education","workerid","enjoyment","fairprice","age","gender","asses","comments","problems","language","speaker_cond"
2,49,2,"More than fair.",20,"Male","Yes","I enjoyed participating in this task.","No.","English/Spanish","all"
3,50,2,"2.50",28,"Male","Yes","None, have a nice day!","Nope","English","any"
1,51,2,"2.50",61,"Female","Yes","messed up on the last one. there was no gumballs...fun experiment!","no issues","English","any"
2,52,0,"5.00",25,"Male","Yes","","no","English","any"
3,53,2,"$2.50",23,"Male","Yes","","No problems.","English","any"
3,54,2,"2.50",35,"Female","Yes","","","english","any"
1,55,2,"2.00",39,"Female","Yes","","no problems","english","any"
1,56,1,"2.3",30,"Male","Yes","","n/a","Englih","any"
2,57,1,"2.50",31,"Male","Yes","It was a little too long.","No.","English","any"
2,58,2,"2.50",24,"Male","Yes","","","English and Korean","any"
3,59,2,"5",52,"Male","Yes","","No","English","any"
1,60,1,"2.50",25,"Male","Yes","","","English","any"
3,61,1,"3.00",29,"Male","Yes","No comments.","No.","English","any"
3,62,1,"5.00",25,"Male","No","","No","English","any"
2,63,1,"2.30",34,"Female","Yes","I was confident most of the way through the game but towards the end I started doubting myself with the way I answered a couple of the statements. Overall I was sure of the instructions though.","I did't experience any problems.","English","any"
2,64,2,"2.50",39,"Male","Yes","I enjoyed the HIT. I thought it was fun and much better than most.","I didn't experience any problems.","English","any"
3,65,2,"yes",29,"Male","","good","no problem","English","any"
1,66,2,"yes",33,"Male","Yes","","none","english","any"
2,67,2,"2.50",35,"Male","Yes","Great experiment! Thanks!","No problems.","English","any"
3,68,1,"2.30",25,"Male","Yes","","No","English","any"
2,69,2,"2.50",24,"Female","Yes","I know I did get one wrong. It's kind of difficult to remember which key to hit, just because I feel like ""yes"" is usually on the left (yes/no) but for this HIT it was on the right (no/yes) ","No problems.","English","any"
1,70,2,"2",25,"Male","Yes","This was an interesting HIT. I enjoyed doing it, thank you!","No","English","any"
3,71,1,"4.00",29,"Male","No","","no","english","any"
3,72,1,"5",30,"Male","Yes","good survey","no","english","any"
3,73,2,"2.30",57,"Female","Yes","Thank you.","N/A","English","any"
4,74,1,"2.00",33,"Female","Yes","","","English","any"
3,75,0,"no",30,"Male","Yes","good ","nothing ","english","any"
2,76,2,"Yes",45,"Female","Yes","I don't know if this was the purpose of the study or not, but I hesitated on some versus all. If all fell I disagreed with ""you got some""...interesting...","No","English","any"
3,77,2,"2.30",36,"Male","Yes","","no","English","any"
1,78,2,"2.50",26,"Male","Yes","I like these types of games and experiments because they are unique and engaging.","none.","English","any"
3,79,2,"2.30",45,"Male","Yes","Fun & different but I'm gong keep hearing how many gumballs for the rest of the day.","none","English","any"
3,80,2,"2.00",36,"Female","Yes","","","english","any"
2,81,1,"2.50",37,"Male","Yes","Have a nice day!","None","English","any"
4,82,2,"3.00",39,"Male","Yes","I'm wondering what you're studying","","English","any"
3,83,1,"",29,"Female","No","","","English","any"
1,84,2,"2.30",49,"Female","Yes","","no","english","any"
3,85,2,"2.30",44,"Male","Yes","I may have missed the quiz. It went by too fast and I hit space bar too quickly. ","no","English","any"
2,86,2,"2.30",36,"Female","Yes","None","No","English","any"
3,87,2,"yes",36,"Female","Yes","","no","english","any"
3,88,1,"2",36,"Female","Yes","","no","english","any"
3,89,2,"2.00",39,"Male","Yes","no additional comments","none","English","any"
3,90,2,"2.50",32,"Male","Yes","","no problems","english","any"
3,91,2,"2.30",48,"","Yes","None","No","English","any"
0,92,1,"2.50",26,"Female","Yes","none","no","English","any"
3,93,1,"2.50",50,"Male","Yes","Everything was fine.","No problems.","English","any"
3,94,2,"2.30",36,"Male","Yes","","","English","any"
2,95,1,"",27,"Male","Yes","","No","English","any"
2,96,2,"2.50",51,"Female","Yes","Thank you","No","English","any"
3,97,1,"2.30",40,"Male","Yes","","No","English","any"
1,98,2,"2.30",34,"Male","Yes","interesting experiment.","no issues","English","any"
3,99,1,"2.00",40,"Female","No","","No","English","any"
3,100,2,"This price was fair.",30,"Male","Yes","","No","English","no"
3,101,2,"1.50",39,"Female","Yes","I was really stumped as to how I felt when I received all of the gumballs and it said ""you received some gumballs"" The word some could mean any number in my opinion so I answered in agreement because technically I did receive some gumballs.","No","English","no"
2,102,1,"3.00",26,"Female","Yes","The word gumball has lost it's meaning for me and just sounds weird.","no","English","no"
2,103,2,"Yes",29,"Female","Yes","","no","English","no"
1,104,2,"2.5",31,"Male","Yes","enjoyed","no","english","no"
3,105,2,"2.50",25,"Female","Yes","its pretty nice to take.","No","English","no"
3,106,2,"Yes but I won't mind a bonus.",24,"Male","","None for now. If any comment comes to mind, I would send you an email. ","There was none. The survey was flawless.","ENGLISH","no"
3,107,2,"3.00",36,"Male","Yes","","no","English","no"
2,108,1,"2.50",29,"Male","Yes","","","English","no"
3,109,2,"yes",57,"Female","Yes","thank you","no","english","no"
3,110,2,"2.00",30,"Male","Yes","No comments","No bugs occured","English","no"
3,111,2,"2.30",29,"Female","Yes","Thank you! I had fun, the pay was good and I appreciate that you are looking for feedback. Thanks again!","No problems","English","no"
2,112,1,"3.00",25,"Male","Yes","","No","English","no"
1,113,2,"2.50",33,"Female","Yes","","","english","no"
3,114,1,"2.50",33,"Male","Yes","","no","English","no"
3,115,2,"YES",32,"Female","Yes","NONE","NONE","ENGLISH","no"
3,116,2,"What you paid",48,"Female","No","","No","English","no"
2,117,2,"2.30",23,"Male","Yes","","No problems or bugs.","English","no"
3,118,2,"2.30",35,"Female","Yes","","No","English","no"
3,119,1,"4",30,"Male","Yes","","no","english","no"
3,120,2,"2.30",27,"Male","Yes","At first I was a bit confused about the experiment in the practice rounds, but after starting I began to understand what to do.","No","English","no"
1,121,2,"2.00",28,"Male","Yes","","No","English","no"
4,122,2,"Yes",42,"Female","Yes","","I cannot submit this hit, this is the 2nd time completing it. It thanks me and then my screen is blank. Hopefully it goes through this time","English","no"
1,123,2,"2.30",36,"Male","Yes","","","English","no"
3,124,2,"this is fair price",24,"Female","Yes","","no","english","no"
3,125,2,"yes very",28,"Male","Yes","hope to see more of these in the future with various scenarios!","no","English","no"
2,126,2,"3",27,"Female","Yes","","no","English","no"
3,127,2,"2.30",40,"Female","Yes","none, thanks","no","English","no"
3,128,2,"Yes it is fair.",26,"Male","Yes","Everything was clear with no errors at all!","There were no problems or bugs at all!","English","no"
3,129,2,"2:30",22,"Male","Yes","","","english","no"
2,130,2,"2.30",48,"Female","Yes","This was thought provoking and kept you on your feet and I would truly like to see more like this, very refreshing. Thank you.","no","English","no"
3,131,2,"Yes",45,"Male","Yes","This is an interesting study.  Good luck.  Thank you.","None.","English","no"
1,132,1,"$2.30",30,"Male","Yes","","No","English","no"
3,133,1,"2.30",26,"Male","Yes","","","english","no"
2,134,1,"2.30",28,"Male","Yes","","no","english","no"
1,135,1,"idk",35,"Male","Yes","","no","eng","no"
3,136,1,"2.30",25,"Female","Yes","Thanks!","No","English","no"
2,137,1,"$2.30",45,"Male","Confused","might want a progress meter, it starts to feel like it will go on forever. ","if four gumballs appear and it says 'you got two of the gumballs' it is true that I got two gumballs, and that I got two more. This was confusing because 'some' is an answer sometimes. ","English","no"
3,138,2,"2.30",59,"Female","Yes","","no","eng","no"
2,139,1,"3",27,"Male","No","","none","English","no"
3,140,2,"yes",60,"Female","Yes","cheers","no","english","no"
2,141,2,"2.00",31,"Male","Yes","The task was interesting and paid good.","No problems; everything worked.","English","no"
2,142,2,"2.3",29,"Male","Yes","The only thing I wasn't sure about was if I got 7 gumballs and it said ""you got 2 of the gumballs"", I put yes because I got at least 2 of them. Not sure if I was supposed to put No in those situations","","english","no"
1,143,2,"2.30",29,"Female","Yes","","No","English","no"
3,144,1,"$4",29,"Female","Yes","","No","English","no"
2,145,1,"2.30",21,"Male","Yes","","","English","no"
3,146,2,"2.30",51,"Male","Yes","","","english","no"
2,147,2,"250",67,"Female","Yes","This was fun","no","english","no"
1,148,2,"2.30",31,"Male","Yes","Not a bad hit. Good pay. Thank you.","no issues","English","no"
1,149,2,"2.30",24,"Male","Yes","","","English","no"
