"enjoyment","education","language","gender","age","problems","fairprice","workerid","comments","asses","speaker_cond"
1,3,"english","Female",24,"","no",76,"","Yes","age1-all"
2,2,"Bulgarian","Female",20,"No","$2.50",77,": )","Yes","age1-all"
2,3,"English","Male",24,"None","2.50",78,"","Yes","age1-all"
2,3,"English","Female",24,"No","2.30",79,"I would love to do more like this","Yes","age1-all"
1,2,"English","Female",21,NA,"2",80,"I was slightly confused about the bit with the worker, I was just focused on right and wrong statements.","Yes","age1-all"
2,2,"english","Female",24,"No ","3.00",81,"I really enjoyed this hit and would love to participate in more like this. ","Yes","age1-any"
2,2,"English","Male",23,"","2.30",82,"Really interesting experiment, keep up the good work fellas","Yes","age1-any"
2,1,"English","Female",24,"I only got confused when it would ask me if I got some of the gumballs when it gave me all of them. ","2.00",83,"Very fun, kept me entertained. Would love more HITs like this.","Yes","age1-any"
2,3,"English","Male",25,"No","$3.00",84,"Experiment was very straightforward and easy to understand. I started to get a bit annoyed with the duration of the agree/disagree part. ","Yes","age1-any"
2,2,"English","Male",21,"none","3.00",85,"This was amazing. I couldn't tell if this was AI teaching itself as I was completing the HIT (or not), but I love it. I would very much enjoy doing these more often.","Yes","age1-any"
2,2,"English & Turkish","Male",19,"There were no problems or bugs at all.","2.30",86,"I enjoyed the HIT very much and look foward to many more!","Yes","age1-any"
2,3,"English","Female",25,"No","Yes",87,"","Yes","age1-any"
1,1,"English","Female",23,"no","yes",88,"","Yes","age1-any"
2,2,"English","Male",23,"","2.3",89,"When it said I got some of the gumballs I wasn't sure which answer to get some of the times.","Yes","age1-any"
2,2,"English","Male",21,"","yes",90,"","Confused","age1-any"
2,1,"English","Female",25,"N/A","2.00",91,"","No","age1-any"
1,2,"English","Male",21,"No","2.50",92,"N/A","Yes","age1-any"
2,3,"English","Male",24,"","2.00",93,"","Yes","age1-any"
2,2,"English","Female",19,"no","1.50",94,"","Yes","age1-any"
2,2,"ENGLISH","Male",19,"None","I'D THINK AROUND 6",95,"While I do think the HIT wages, as previously asked, should have been closer to 6, that is mainly because I answered slowly. Another worker may have been much faster. ","Yes","age1-any"
2,2,"English","Female",22,"No.","1.00",96,"I thought the hit was interesting and it kept my attention. I believe I understood everything correctly. In my understanding, if the lady said you got some of the gumballs and it actually dispensed all of them, you should disagree with that statement. If that's not the case then you at least know where I went wrong.","Yes","age1-any"
2,1,"English","Female",25,"","2.00",97,"","Yes","age1-any"
2,3,"English","Male",24,"None","This is more than fair",98,"Fun hit, I enjoyed it. ","Yes","age1-any"
2,3,"english & spanish","Female",25,"no","yes",99,"I studied language and I found this HIT particularly interesting. ","Yes","age1-any"
2,2,"English","Female",22,"My screen was blank for awhile but other then that there was no problems. ","$2.30",100,"There should be more instructions when it comes to the amounts that they consider when talking about some of the gumballs. ","Yes","age1-any"
2,3,"English","Male",34,"","Yes",101,"Wish the key pressing was Y for yes and N for no ","Yes","age1-any"
1,3,"English","Male",24,"None","3",102,"","Yes","age1-any"
2,2,"English","Male",25,"Not as far as I know.","Yeah it's alright.",103,"IT was neat.","Yes","age1-any"
2,3,"English","Female",22,"","2.50",104,"","Yes","age1-any"
1,3,"english","Female",24,"no","5",105,"I answered false when the woman said ""you got some of the gumboils"" when all the balls had been dispensed because technically i didn't get ""some"" i got ""all"". I hope this was the correct response.","Yes","age1-any"
2,2,"english","Female",22,"","the amount provided seems fair",106,"Im more eager to do hits like this because of the fair pay and fun format","Yes","age1-any"
2,2,"English","Male",22,"I didn't notice any problems or bugs.","2.30",107,"","Yes","age1-any"
2,3,"English","Female",22,"","2.50",108,"","Yes","age1-any"
-1,-1,"","",NA,"","",109,"","","age1-any"
1,3,"English","Male",27,"no","yes",110,"","Yes","age1-any"
2,2,"English","Female",20,"no","Yes",111,"Easy hit, good pay, Thanks!","Yes","age1-any"
2,4,"English","Female",25,"No issues during the experiment.","$2.50",112,"The instructions were clear and the HIT was enjoyable.","Yes","age1-any"
1,2,"English","Male",20,"No.","3.00",113,"","Yes","age1-any"
1,2,"English","Male",21,"There were no problems or bugs.","Yes",114,"I believe that the beginning tutorial is entirely unnecessary and convoluted. It does not provide any benefit to the worker and left me somewhat confused on what my task was meant to be.    ","Confused","age1-any"
2,2,"English","Female",21,"no","2.30",115,"I liked that the control was through the keyboard - easier and more efficient. ","Yes","age1-any"
2,1,"English","Female",25,"No.","1.50",116,"Thank you for this experiment. It was really fun and interesting.","Yes","age1-any"
1,2,"English","Female",20,"No","4.50",117,"","Yes","age1-any"
2,2,"English","Female",20,"No","I think the $2.30 is fair!",118,"I was unsure whether the statement ""You got SOME of the gumballs"" was correct or incorrect if the image showed me getting ALL of the gumballs. I marked it as incorrect because that was my gut feeling (some ≠ all) but might be good to clarify that.","Yes","age1-any"
2,3,"English","Male",22,"","1.00",119,"I'm interested in the parts of the study--I'm guessing that you were running several variables based on whether or not specific (e.g. 8) vs. non specific (some) were agreed or not agreed--I was a bit confused if I should have said yes to having gotten 8 if there were 11, because there were at least 8 but maybe that was the experiment. ","Yes","age1-any"
2,3,"English","Male",25,"","Yes",120,"","Yes","age1-any"
2,3,"English","Male",24,"none","2.30",121,"None","Yes","age1-any"
2,3,"English","Female",24,"none","2",122,"none","Yes","age1-any"
2,2,"english","Female",21,"","2",123,"","Yes","age1-any"
2,3,"English","Male",24,"no","2.50",124,"I wish there were more hits like this ","Yes","age1-any"
2,2,"English","Male",21,"No.","2.40",125,"","Yes","age1-any"
2,3,"English","Female",25,"None","$2.30",126,"This HIT was pretty fun to do! ","Yes","age1-any"
2,2,"English","Female",23,"The instructions for the cashier was a little confusing. If you received 0 gumballs, saying yes or no seemed to have the same result of him not thinking it was jammed. ","2.50",127,"","Confused","age1-any"
1,2,"cantonese","Female",19,"no","yes",128,"Some but not all is different than some including all.. which confused me","Yes","age1-any"
1,3,"English","Female",22,"no","5.00",129,"","Yes","age1-any"
2,0,"english","Male",20,"no","3.00",130,"more hits like this please.","Yes","age1-any"
1,3,"English","Male",23,"No","$2",131,"","Confused","age1-any"
2,4,"English ","Male",24,"Nope! ","Absolutely ",132,"","Yes","age1-any"
2,2,"English","Female",19,"","2.30",133,"About halfway through I considered how for ""some"" I'd be willing to agree if it was all, but if it asked a specific number and I got more than it I would disagree, because what I got was specifically different from what it said. ","Yes","age1-any"
1,0,"English","Female",25,"No","2.30",134,"","Yes","age1-any"
2,4,"English","Female",22,"","2.50",135,"I didn't know if I should yes to ""some of the gumballs"" when all of the gumballs came out.","Yes","age1-any"
2,2,"English","Male",23,"No technical issues","3.00",136,"","Yes","age1-any"
1,3,"English","Male",25,"No","A little low",137,"","Yes","age1-any"
2,3,"English","Female",24,"","2.30",138,"","No","age1-any"
2,3,"English","Male",23,"","2.00",139,"","Yes","age1-any"
2,3,"English","Female",22,"No, not really.","2.30",140,"","Yes","age1-any"
2,3,"English","Male",22,"No","2.3",141,"","Yes","age1-any"
2,2,"English","Female",24,"None that I had experienced.","Honestly, It was a fun experiment. I would be happy with anything.",142,"Thank you again for this fun experiment. Everytime it had said that ""You have some of the gumballs"" but I actually had all of them, My brain kept wanting me to deny it because it didnt say ""All of the gumballs"". It was a bit of a struggle trying to get my brain to cooperate. ","Yes","age1-any"
2,3,"English","Male",24,"No","$2.50",143,"Please give us more of these HITs!
","No","age1-any"
2,2,"English","Female",21,"No","2.30",144,"","Yes","age1-any"
2,2,"English","Other",23,"No","$2",145,"","Yes","age1-any"
1,4,"English","Male",25,"Everything seemed fine.","2.50",146,"No additional comments at this time. Thank you.","Yes","age1-any"
2,2,"english","Male",19,"no","yes",147,"","Yes","age1-any"
2,1,"english","Female",23,"no","4.00",148,"","Yes","age1-any"
2,2,"English","Male",23,"","Yes",149,"","Yes","age1-any"
2,3,"English","Female",25,"None","",150,"At first, I was confused by the task the employee was given, but I am glad that there was a trial round and clarification. ","Yes","age1-any"
2,2,"English","Male",21,"No","The current price is fair",151,"","Yes","age1-any"
1,2,"","Male",23,"No","Yes",152,"","Yes","age1-any"
2,3,"English ","Male",25,"No, there weren't ","3.20",153,"Thank you ","Yes","age1-any"
1,3,"English, Vietnamese","Male",25,"no",".50",154,"It was easy but monotonous. I missed a few because I dozed off. For example, there was some of the gumballs, and I said no because it wasn't 5 in my mind. So what I am saying is that because it's so easy, it was hard.","Yes","age1-any"
1,2,"English","Female",21,"","2.00",155,"I was confused at what would happen to the cashier","Confused","age1-any"
2,3,"english","Female",25,"none","5.00",156,"none","Yes","age1-any"
2,0,"ENGLISH","Male",19,"NO","YES",157,"","No","age1-any"
2,3,"english","Female",23,"","2.30",158,"","Yes","age1-any"
2,3,"English","Female",25,"No problems, but I wasn't quite sure about whether or not I was supposed to agree when what the machine was saying was technically correct (such as when it said I got some of the gumballs and I got all of them... because technically I did get some of the gumballs) (or another example- if it said I got two and I got five, technically I did get 2, but I also got 3 more...) I ended up answering ""agree"" only when it was precisely correct, with the exception of the ""some"" example when I got all of them because I felt like that was more ambiguous.","2.00",159,"","Confused","age1-any"
1,2,"English","Male",21,"no","2.3",160,"","No","age1-any"
2,2,"English","Male",23,"No.",NA,161,"","No","age1-any"
1,2,"English","Female",25,"no",NA,162,"","Yes","age1-any"
2,2,"Spanish","Male",22,"no","3",163,"none","Yes","age1-any"
1,3,"English","Female",24,"","2.50",164,"This may be a part of what you are studying, but if not, maybe it could be clarified if when all the gumballs drop if that still technically means you got ""some"" if the gumballs.","Yes","age1-no"
2,3,"English","Female",25,"no","yes",165,"none","Yes","age1-no"
2,3,"English","Female",25,"N/a","2",166,"","Yes","age1-no"
2,4,"English","Female",24,"no i don't think there were any issues","2.50",167,"Interesting study, made me overanalyze the technicalities of the word 'some.'","Yes","age1-no"
2,2,"English","Male",25,"","2.3",168,"","Yes","age1-no"
2,2,"english","Female",24,"no","1",169,"","Yes","age1-no"
1,2,"English","Male",20,"No","Yes",170,"","Yes","age1-no"
2,3,"English","Female",22,"","Yes, I think so.",171,"There is some ambiguity when first starting in judging whether we should look at the gumballs at the top or the ones deposited, at the bottom.","No","age1-no"
2,3,"Spanish","Female",23,"No","Yes",172,"","Yes","age1-no"
2,2,"english","Male",25,"","3",173,"","Yes","age1-no"
2,3,"English","Female",22,"No","$2",174,"","Yes","age1-no"
2,3,"English","Male",24,"No","$2.30",175,"","Yes","age1-no"
2,3,"english","Female",25,"","3.00",176,"It was a fun experiment, just want to know what happens if someone get's the answer wrong?","Yes","age1-no"
2,3,"English","Other",23,"I misclicked twice","yes",177,"","Yes","age1-no"
2,3,"english","Female",25,"no","yes",178,"enjoyed this hit","No","age1-no"
2,3,"English","Male",21,"","$2.30",179,"","Yes","age1-no"
2,4,"English","Female",24,"No","Yes",180,"","Yes","age1-no"
2,3,"english","Female",NA,"no","yes",181,"this was fun! ","Yes","age1-no"
2,2,"English","Female",21,"No","Yes",182,"","Yes","age1-no"
2,2,"English","Male",22,"I was not sure if I should put yes or no for when all of the gumballs went in and they said 'you got some of the gumballs'","3.00",183,"","Yes","age1-no"
1,3,"english","Female",23,"","yes",184,"","Confused","age1-no"
2,3,"English","Male",24,"No","Yes",185,"","Yes","age1-no"
1,2,"English","Male",23,"none","Yes",186,"Felt like better keys could have been used so it didn't get confusing, also don't use space to move to next screen, just let it do it on it's own.","Yes","age1-no"
1,3,"English, Thai","Male",24,"no","yes",187,"","Yes","age1-no"
2,2,"English","Male",25,"Nope.","The amount paid was fair, but I'm always happy to receive more money.",188,"It was pretty fun. I like that we had to differentiate ""some"" between meaning ""all except for at least one"" and ""all""","Yes","age1-no"
2,3,"English","Female",23,"No","2.30",189,"","Yes","age1-no"
2,4,"English","Female",25,"No","Yes",190,"","Yes","age1-no"
2,2,"english","Male",25,"no","2.30",191,"the voice makes me tired i was starting to nod off. when the experiment ended i was suddenly very awake.","Yes","age1-no"
1,3,"english","Female",24,"no","2.00",192,"","Yes","age1-no"
2,3,"English","Female",24,"No","$2",193,"","No","age1-no"
1,3,"English","Male",23,"no","no",194,"","Yes","age1-no"
1,3,"English","Female",25,"","1.50",195,"A little confused about the picture displayed.","Confused","age1-no"
2,2,"English","Female",21,"No","2.30",196,"I just hope that I did it right. I wasn't sure if when the prompt some or gave a number if an ""at least"" was implied, so I took them as exactly what they said.","Yes","age1-no"
1,2,"English","Male",20,"No","$3.00",197,"","No","age1-no"
2,3,"English","Male",24,"no","yes",198,"","No","age1-no"
2,3,"English","Female",24,"No","2.30",199,"","Yes","age1-no"
2,2,"English","Male",25,"","2.00",200,"","Confused","age1-no"
2,1,"Enlgish","Male",23,"","2.25",201,"","Yes","age1-no"
2,3,"English","Female",22,"No, none.","2.30",202,"Thank you, this was kind of fun. I hope my answers are useful to you.","Yes","age1-no"
2,2,"English","Male",22,"no","2.50",203,"","Yes","age1-no"
1,1,"english","Female",22,"none, thank you","yes, thank you ",204,"","Yes","age1-no"
-1,-1,"","",NA,"","",205,"","Yes","age1-no"
2,2,"English","Male",20,"","2.50",206,"","Yes","age1-no"
2,1,"English","Male",25,"No","2.30",207,"","Yes","age1-no"
2,0,"english","Female",18,"couldn't repeat the question.","",208,"","Yes","age1-no"
2,3,"English","Male",24,"no","yes",209,"","Yes","age1-no"
1,3,"english","Male",21,"no","yes",210,"","No","age1-no"
2,3,"English","Female",23,"None","2.30",211,"This was an interesting HIT to complete! Simple and smooth mechanics, and I had to think about what such common language meant for a few of the possibilities. I'd be highly interested in doing more similar work in the future, especially with such fair pay for the work.","Yes","age1-no"
2,2,"English","Female",20,"No","Yes",212,"","Yes","age1-no"
2,3,"English","Male",23,"no everything seemed to work fine instructions where easy","Yes, generous even",213,"","Yes","age1-no"
2,1,"english","Female",25,"none","2.30",214,"thanks for an interesting hit with no issues.","Yes","age1-no"
2,3,"English","Male",22,"There were not.","$2.00",215,"I have none.","Yes","age1-no"
2,1,"English","Male",18,"No","2.30",216,"I wasn't sure if the meaning of ""some"" was 'less than half"" or just ""not all of them""","Yes","age1-no"
2,2,"English","Female",18,"no","yes",217,"","Yes","age1-no"
2,1,"English","Female",25,"","2.00",218,"""some"" should have been elaborated on in my opinion. I was confused if my choosing so was correct for like only 2 or all, etc.","Yes","age1-no"
2,3,"english, spanish, chinese","Female",25,"n/a","$3",219,"","Yes","age1-no"
2,2,"English","Male",24,"I know I accidently hit the wrong answer for at least two of them because of a simple twitch of the finger. Other than that, It was very simple, quick and decently enjoyable.","$2.30",220,"Other than the couple I missed by accident, It was fun and I could easily do more hits like this.","Yes","age1-no"
2,3,"English","Male",23,"No","$2.30 is a very fair price.",221,"","Yes","age1-no"
2,2,"English","Female",24,"","1.20",222,"Interesting and fun!","Yes","age1-no"
2,2,"English","Female",23,"None encountered","Yes. Bonuses are always nice, however. :)",223,"n/a","Yes","age1-no"
2,2,"English","Male",23,"I did get the wording mixed up","5.00",224,"I got the terms some, sum, and all confused and found it frustrating. I like to do my best and found this as a barrier.","Yes","age1-no"
2,2,"English","Male",24,"no","$2",225,"","Yes","age1-no"
2,2,"English","Male",21,"No","2.00",226,"","Yes","age1-no"
1,1,"English","Male",25,"","2.50",227,"","Yes","age1-no"
2,1,"english, spanish","Male",19,"no","yes",228,"when they said some of the gumballs an all of them dropped they all don't specify as some gumballs ","Yes","age1-no"
1,2,"English, Telugu","Female",19,"","2.30",229,"I was confused when the person said ""you got x of the gumballs"" but more than x number fell out. I know I technically did get x, but I thought it should be exactly x, otherwise I disagreed. That was the only part I was confused about.","Confused","age1-no"
2,2,"Spanish","Male",22,"no","3",230,"none","No","age1-no"
2,3,"English","Female",24,"No","Yes",231,"N/A","Yes","age1-no"
2,2,"Spanish","Male",22,"no","3",230,"none","Yes","age1-no"
2,2,"english","Female",25,"could not always understand if she was sayin 'some' or 'none'","2.00",232,"","Yes","age1-no"
2,3,"English","Male",25,"no","2.30",233,"","Yes","age1-no"
2,2,"Spanish","Male",22,"no","3.00",230,"none","Yes","age1-no"
2,2,"English","Female",69,"No, loved the survey. Thanks.","2.50",234,"Absolutely loved it. Thanks.","Yes","age2-all"
1,2,"English","Female",56,"no",".50",235,"","Yes","age2-all"
2,3,"English","Female",47,"The experiment ran very smoothly.  I didn't experience any issues.","1.50",236,"This was a simple and fun experiment. I really liked the visuals and the ""sound"" of the gumball machine.  Thank you very much for the opportunity to participate.","Yes","age2-all"
2,3,"english","Male",61,"nho","2.30",237,"Great hit!!!","Yes","age2-all"
2,3,"English","Female",61,"no","2.30",238,"all of the gumballs would be how many?","Yes","age2-all"
2,1,"English","Female",45,"No","2.30",239,"","Yes","age2-all"
1,3,"English","Male",46,"no","2",240,"no comments","Yes","age2-all"
1,2,"","Female",55,"","",241,"","Confused","age2-all"
2,3,"english","Female",46,"no","2.30",242,"no","No","age2-all"
2,3,"English","Female",55,"no","2.30",243,"","Yes","age2-all"
2,2,"English","Male",62,"no, all went well.","2.30",244,"The directions were not specific, so I could have answered a little differently.  If it dropped all the gumballs and the statement was ""you got 2 of the gumballs"", then the answer is technically Yes.  But I was consistent with a No for that type of question because the statement was not accurate enough - although it was technically correct.  I stayed with this concept all the way through.  It could have been wrong to do so.  But I wanted to show consistency.  I hope my explanation is helpful.","Yes","age2-all"
2,1,"english","Male",48,"no, it was fine.","2.30",245,"Thank you for letting me take part, it was interesting :)","Yes","age2-all"
2,2,"English","Female",69,"no","yes",246,"Really fun and easy","Yes","age2-all"
2,2,"English","Female",46,"No.","2.30",247,"","Yes","age2-all"
2,3,"English","Female",52,"No","$1.00",248,"","Yes","age2-all"
2,3,"Englsh","Female",54,"no","3.00",249,"fun game","Yes","age2-all"
2,3,"English","Female",45,"No","2.50",250,"","","age2-all"
2,1,"English","Female",57,"","",251,"","Yes","age2-all"
2,2,"English","Male",61,"Loaded fine in Chrome Browser","2.30",252,"Fun thanks - Cheers","Yes","age2-all"
2,3,"English","Female",46,"","2.5",253,"It was repetitive by the end, and there was one time I wish I had a chance to replay the audio","Yes","age2-all"
2,2,"English","Female",57,"no","2.50",254,"fun to do ","Yes","age2-all"
-1,-1,"english","Female",47,"no","",255,"","Yes","age2-all"
2,4,"English","Male",51,"no","no",256,"","Yes","age2-all"
2,3,"English","Male",46,"no","2.00",257,"","Yes","age2-all"
2,1,"English","Female",63,"no","2.30",258,"","Yes","age2-all"
1,3,"english","Female",55,"The wording was a bit off.","2.30",259,"","Yes","age2-all"
2,2,"ENGLISH","Female",45,"NO","YES",260,"IT WAS FUN THANKS ","Yes","age2-all"
2,1,"English","Female",47,"No","yes",261,"I loved this task. Kind of challenging and stressful but in a good way. Hands got tired, but it was fun anyway!","Yes","age2-all"
2,2,"English","Male",65,"No problems, but I hit the wrong key one time.","$2.30",262,"It was fun and paid well.","Yes","age2-all"
1,2,"english","Female",59,"no","2.70",263,"","Yes","age2-all"
2,1,"English","Female",69,"","1.00",264,"","Yes","age2-all"
1,2,"English","Male",51,"No problems.","2.50",265,"","Yes","age2-all"
2,3,"English","Male",66,"Sometimes when the screen changed the ""press space"" command at the top got cut off and I had to scroll to see it.  And of course I had trouble deciding things like if the word ""some"" INCLUDED ""all"", or if I got 7 gumballs then I got any number less than 7, etc., but I'm guessing that was the point of the study.  I sure hope that poor guy didn't lose his job because of me","whatever",266,"See what I wrote for the ""problems"" question above.","Confused","age2-all"
2,3,"english","Female",64,"no","2.50",267,"","Yes","age2-all"
1,3,"English","Female",55,"slow delayed specch","no",268,"","Confused","age2-all"
2,2,"English","Male",49,"no","$.25",269,"","Yes","age2-all"
2,2,"English","Female",68,"No","2.50",270,"Totally enjoyable; unique experiment.","Yes","age2-all"
2,3,"English","Female",45,"i didn't know if some and all were the true or falst","yes",271,"I bet the poor clerk got fired because of me. i did my best! ","Yes","age2-all"
1,2,"English","Female",52,"","fair",272,"","Yes","age2-all"
2,4,"English","Female",52,"Nope","2.30",273,"This was fun!  Thank you","Yes","age2-all"
2,3,"English","Male",45,"no","2.50",274,"","Yes","age2-all"
2,3,"hindi,Telugu,Tamil,english","Male",45,"n/a","3.50",275,"good survey. Thank you.","Yes","age2-all"
1,2,"English","Male",59,"no","2.50",276,"It would be interesting to know the purpose of the study.","Yes","age2-all"
2,3,"English","Female",60,"If I got ALL of the gumballs, and the machine said I got SOME of the gumballs I wasn't sure how to answer.","yes",277,"This was a fun experiment.  Thank you.","Yes","age2-all"
2,4,"English","Female",58,"No","2.30",278,"Very interesting! I found myself concentrating so hard!","Yes","age2-all"
2,3,"English","Female",67,"I wasn't sure if all could also mean some or if there were 8 gumballs you could say you got at least 2 of them.","yes",279,"above","Yes","age2-all"
2,3,"English","Female",49,"no","1.00",280,"I have none","Yes","age2-all"
2,3,"english","Female",68,"no","yes",281,"","Yes","age2-all"
2,3,"English","Male",56,"Nothing specifically","Yes",282,"Very interesting survey.  I think that this platform could be used for other types to make them more interesting.","Yes","age2-all"
1,2,"English","Male",50,"","",283,"","Yes","age2-all"
2,2,"United States","Female",50,"No.","$3.00",284,"I was confused at the beginning of the experiment, but understood better a little into it.","Confused","age2-all"
2,2,"English","Female",46,"no problems at all. ","2.30",285,"","Yes","age2-all"
