"education","language","fairprice","enjoyment","gender","problems","age","asses","workerid","comments","speaker_cond"
3,"English","1.50",2,"Male","It was weird that the pictures didn't always match with what was happening in the messages.  But the clerk said that the message was what he needed to know so I went with that. ","33","No",105,"None at this time. ","allQUD"
1,"English","yes",1,"Male","Some of the questions timed out before the audio question was even asked.","38","Yes",106,"Thanks.","allQUD"
2,"English","somewhat",1,"Female","Once there was a delay in the announcement and so I missed the timer. ","65","Yes",107,"I know that I made two errors. 
As for the ""some"" statements, I said I disagreed, although they were technically true. Telling the employee that ""some"" was correct would not let him know the machine was empty. ","allQUD"
3,"English","2.00",0,"Male","Yes, after the second quiz check for about 15 rounds it just did the error noise ""press space to continue"" before picking back up.","36","No",108,"","allQUD"
2,"english","2",2,"Male","no","35","Yes",109,"","allQUD"
2,"english","1.50",1,"Male","no","39","Yes",110,"","allQUD"
1,"english","1.50",1,"Male","Nope everything worked fine","23","Yes",111,"","allQUD"
1,"English","2.00",1,"Male","no","35","Yes",112,"","allQUD"
2,"English","3",2,"Female","no","49","Yes",113,"","allQUD"
2,"English","Yes",1,"Male","No","38","Yes",114,"","allQUD"
2,"English","3.00",1,"Male","There were no issues.","35","Yes",115,"","allQUD"
1,"English","Yes",2,"Male","No technical difficulties that I ran into","25","Yes",116,"I personally felt that sometimes 4 seconds isn't enough to count the gum balls and felt a little unsure if I was right in selecting my choice","allQUD"
3,"english","2.00",1,"Male","no","33","Yes",117,"","allQUD"
-1,"","y",-1,"Female","n",NA,"Yes",118,"","allQUD"
4,"English","1.50",2,"Male","No problems","35","Yes",119,"Interesting and good.","allQUD"
1,"English","1.50",2,"Female","","41","Yes",120,"","allQUD"
2,"English","2.50",2,"Male","No","28","Yes",121,"It was a good experiment. Very easy.","allQUD"
-1,"","",-1,"","",NA,"",122,"","allQUD"
2,"Spanish","1.50",2,"Male","NO","36","Yes",123,"","allQUD"
3,"English","",2,"Male","","28","Yes",124,"","allQUD"
4,"english","LIKE",2,"Male","","35","Yes",125,"good ","allQUD"
2,"english","3.00",1,"Male","no","33","Yes",126,"","allQUD"
-1,"","",-1,"","",NA,"",127,"","allQUD"
3,"English","1.50",1,"Female","No all worked correctly","38","Yes",128,"","allQUD"
4,"English","1.50",2,"Male","nothing","61","Yes",129,"nice survey","allQUD"
3,"English","2.00",2,"Male","No","44","Yes",130,"","allQUD"
1,"English","1.50",1,"Male","","31","Yes",131,"","allQUD"
2,"English","$2",1,"Other","No.","34","Yes",132,"Thank you.","allQUD"
2,"English","2.00",2,"Male","","26","Yes",133,"","allQUD"
2,"English","1.50",2,"Male","No","36","Yes",134,"Thank you","allQUD"
4,"English","3.00",1,"Male","No","29","No",135,"","allQUD"
2,"English","1.50",1,"Female","","59","Yes",136,"","allQUD"
3,"English","2.50",1,"Male","minor","36","Yes",137,"n","allQUD"
2,"English","1.50",1,"Female","No","36","Yes",138,"None","allQUD"
3,"English","ok",1,"Female","no","41","Yes",139,"No comments","allQUD"
3,"english","Somewhat, not good but not terrible.  $2 would be a fiar wage.",0,"Female","It broke a few times","31","Yes",140,"","allQUD"
1,"English","yes",2,"Male","no","40","Yes",141,"","allQUD"
3,"English","language game",2,"Female","no","39","Yes",142,"This survey is very interesting.","allQUD"
1,"English","1.50",2,"Female","None","31","Yes",143,"Thank you for the opportunity! This is a fun HIT.","allQUD"
2,"englidh","1.50",1,"Female","","31","Yes",144,"","allQUD"
3,"English","1.50",2,"Male","No","28","Yes",145,"I greatly enjoyed this experiment. The only question I found confusing is the one where I would receive all of the gumballs and the machine would say I received some of them. I always answered false for this, even though it could technically be true. ","allQUD"
3,"English","1.5",2,"Female","No","52","Yes",146,"","allQUD"
3,"english","2.00",2,"Female","none","43","Yes",147,"","allQUD"
3,"english","3.00",2,"Male","no","63","Yes",148,"it was interesting","allQUD"
3,"english","1.50",1,"Male","","29","Yes",149,"","allQUD"
2,"english","1.50",2,"Male","none","46","Yes",150,"none","allQUD"
2,"English","yes",2,"Male","no","28","Yes",151,"","allQUD"
1,"English","1.50",2,"Female","The instructions were kind of confusing. I was unsure if I was supposed to be focusing on what was left in the bowl after taking some gumballs or on the actual gumballs that came out of the machine. For instance, if two gumballs came out and 10 were left and the woman said ""You got 2 of the gumballs"" I wasn't sure if I was supposed to say yes I got two of the gumballs or disagree because there were more that 2 gumballs left in the bowl. ","30","Confused",152,"","allQUD"
2,"English","1.50",2,"Female","Nothing major","46","Yes",153,"It went on a little too long, and I was getting bored.","allQUD"
4,"English","",2,"Female","no","31","Yes",154,"","allQUD"
2,"English","2.00",2,"Male","no problems","45","Yes",155,"no problems","allQUD"
2,"English","1.50",2,"Female","No, there were not any problems.","31","Yes",156,"I enjoyed the experiment and would like to do more like this one. Thank you","allQUD"
3,"English","1.50",2,"Male","No","63","Yes",157,"Interesting dilemma presented in this HIT, thank you for your time.","allQUD"
3,"English","3.00",1,"Male","No","25","Yes",158,"","allQUD"
3,"English","3.00",2,"Female","No","29","Yes",159,"","allQUD"
2,"English","2.00",1,"Female","no","58","Yes",160,"","allQUD"
2,"English","2.00",1,"Male","No","42","Yes",161,"Its interesting","allQUD"
3,"English","1.50",2,"Female","No, it worked great.","47","Yes",162,"","allQUD"
3,"English","3",1,"Female","no","26","Yes",163,"","allQUD"
1,"English","1.60",1,"Female","n/a","37","Yes",164,"","allQUD"
2,"english","yes",2,"Other","","24","Yes",165,"","allQUD"
3,"English","1.50",2,"Male","no problems","30","Yes",166,"very good.","allQUD"
2,"English","1.50",2,"Female","None","36","Yes",167,"","allQUD"
3,"English","1.5",1,"Female","","23","Yes",168,"","allQUD"
2,"English","1.50",2,"Male","No","54","Yes",169,"","allQUD"
2,"english","1",2,"Male","none1","59","Yes",170,"","allQUD"
3,"English","good",2,"Male","No","32","Yes",171,"good","allQUD"
2,"English","2.00",2,"Female","no","56","Yes",172,"none","allQUD"
3,"English","2",2,"Male","no","31","Yes",173,"I like the hit but you can increase the pay.","allQUD"
3,"English","3.00",0,"Female","Sometimes I would randomly get a computer error sound before I could press J or F in response to the gumball machine","22","Yes",174,"","allQUD"
4,"english","5",2,"Male","2","28","Yes",175,"no","allQUD"
3,"English","1.50",2,"Female","No.","58","Yes",176,"","allQUD"
3,"ENGLISH","good",2,"Male","no","23","Yes",177,"GOOD","allQUD"
2,"Vietnamese","1.50",1,"Male","No.","33","Yes",178,"","allQUD"
2,"English","2.00",2,"Female","","30","Yes",179,"","allQUD"
4,"English","good one",2,"Male","nothing","28","Yes",180,"good study","allQUD"
2,"English","1.75",1,"Male","no","32","Yes",181,"","allQUD"
2,"English","2.50",1,"Male","none","40","Yes",182,"","allQUD"
2,"English","This was a fair price",2,"Female","No problems","56","Yes",183,"Fun HIT!  Thank you.","allQUD"
2,"English","1.25",1,"Male","no","43","Yes",184,"","allQUD"
3,"English","2",1,"Male","At the end there was no time to answer a few of the questions they went directly to ""press space""","24","Yes",185,"","allQUD"
2,"English","1.50",2,"Male","no","68","No",186,"some of the gumballs is right but it could mislead the clerk","allQUD"
3,"English","yes",1,"Male","none","28","Yes",187,"","allQUD"
3,"English","2.00",0,"Male","no","31","Yes",188,"no","allQUD"
3,"English","1.50",1,"Male","none","44","Yes",189,"none","allQUD"
2,"English","2.00",2,"Female","no","28","Yes",190,"","allQUD"
2,"English","1.50",1,"Female","No","39","Yes",191,"","allQUD"
3,"enlish","yes",2,"Female","no","61","Confused",192,"cheers","allQUD"
2,"English","",2,"Female","","48","Confused",193,"Technically, as an example - ""you got 2 gumballs"" could apply to getting 4. ""you got some gumballs"" could apply to you got all of them. I was a little confused if it had to be exact with the none/some/all.","allQUD"
2,"English","2.00",0,"Male","","22","Yes",194,"","allQUD"
2,"English","1.50",2,"Female","","49","Confused",195,"I got kind of confused with this hit","allQUD"
2,"English","2",1,"Male","","32","Yes",196,"Harder than expected","allQUD"
3,"English","1.5",2,"Male","No","38","Yes",197,"None","allQUD"
3,"English","yes",2,"Female","No","37","Yes",198,"","allQUD"
2,"english","very easy the game survey",0,"Male","no","39","Yes",199,"very easy the survey","allQUD"
3,"English","1.50",1,"Female","No","34","Yes",200,"","allQUD"
2,"English","$1.50",2,"Female","The audio and instructions were clear. I hope the hypothetical clerk doesn't get fired.","36","Yes",201,"It was a lot of fun! I enjoyed this very much. Thank you, and best of luck to you in this and any other research you do in the future. ","allQUD"
2,"English","1.00",2,"Female","Not that I could tell.","56","Yes",202,"If you have four gumballs and it says you got two of the gumballs.  Technically you have at least 2 gumballs.  When you have all the gumballs and it says you got some of the gumballs, technically you did get some of the gumballs.","allQUD"
3,"ENGLISH","fair enough ",2,"Male","none","56","Yes",203,"nice hit","allQUD"
2,"English","yes",2,"Male","n/a","29","Yes",204,"There was an added false sense of urgency beyond the timer but having to count the gumballs, as I was under the impression the voice would either say ""all"", ""some"" or ""none"". I didn't expect to have to count random amounts.","allQUD"
3,"English","1.50",1,"Male","N/A","29","Yes",205,"N/A","allQUD"
2,"English","1.75",2,"Other","","33","Yes",206,"1.50 is a fair price; it took me a little over 9 minutes which was around $10/hr. I try to do HITs that pay a little more than that, though.","allQUD"
2,"English","$2",2,"Male","The page would scroll down between gumball choices, blocking the ""press space to continue"" text.","31","Yes",207,"","allQUD"
3,"English","1.50",2,"Male","No","62","Yes",208,"Even though both getting some and getting all the gumballs were two distinct options. I did agree with the statement of getting some gumballs when all were dispensed. That is because they did actually get some even though they did get them all. Getting some is still a true statement.","allQUD"
3,"English","I think very fair price for the work.",2,"Male","no","22","Yes",209,"Very interesting of this survey.","allQUD"
3,"english","2.00",1,"Female","no","34","Yes",210,"i liked the study","allQUD"
1,"English","1.00",2,"Female","no","30","Yes",211,"fun study","allQUD"
3,"English","1.50",1,"Female","no","36","Yes",212,"","allQUD"
3,"English","yes",1,"Male","no","32","Yes",213,"","allQUD"
1,"Polish","2.00",2,"Male","No","43","Yes",214,"","allQUD"
3,"English","2.00",2,"Female","no","30","Yes",215,"","allQUD"
3,"english","1.50",1,"Female","","40","",216,"","allQUD"
2,"english","2.25",2,"Female","no","41","Yes",217,"","allQUD"
3,"English","1.5",2,"Male","No","45","Yes",218,"","allQUD"
3,"English","Yes",2,"Female","No","32","Yes",219,"Thank you kindly!","allQUD"
3,"english","1",2,"Female","none","44","Yes",220,"","allQUD"
2,"English","Yes",1,"Male","No","30","Yes",221,"The only one I was a little unsure of when when I would get ALL of the gumballs and it would say you got some, because technically I did get some, but since I didn't get all I would choose disagree.","allQUD"
3,"English","yes",1,"Male","","32","Yes",222,"","allQUD"
2,"English","1.50",2,"Male","no","19","Yes",223,"This task was much better than other hits.","allQUD"
4,"English","2",1,"Male","No","27","Yes",224,"","allQUD"
2,"English","2.00",1,"Male","No","30","Yes",225,"Nope","allQUD"
3,"English","Good",2,"Male","No","26","Yes",226,"","allQUD"
2,"english","yes",2,"Male","A good number of the situations went way too fast without an opportunity to respond. The window was impossible to respond to.","29","Yes",227,"God bless and good luck! You gonna have a great career and live your dreams.
","allQUD"
3,"english","1.50",2,"Female","no","43","Yes",228,"","allQUD"
4,"English","yes",2,"Male","","31","Yes",229,"","allQUD"
4,"English","2",1,"Male","No","30","Yes",230,"good","allQUD"
-1,"","",-1,"","",NA,"Yes",231,"","allQUD"
1,"eng","20 per hour",0,"Male","","35","Confused",232,"drivel","allQUD"
-1,"English","2.00",1,"Male","none","62","Yes",233,"none","allQUD"
1,"English","1.00",2,"Male","None.","25","Yes",234,"","allQUD"
1,"English","Listed Price",1,"Male","None","32","Yes",235,"None","allQUD"
3,"English","3",1,"Male","Sound is not clear ","42","Yes",236,"This is also good and very interesting","allQUD"
4,"English","",2,"Male","","28","Yes",237,"","allQUD"
3,"English","1.50",2,"Male","","29","No",238,"When it deposited all of them and said some, I marked that as true because some can mean all in my opinion","allQUD"
1,"English","Yes",2,"Female","No","32","Yes",239,"I really enjoyed this HIT and I hope to do another one soon!","allQUD"
1,"english","1.75",1,"Male","no","21","Yes",240,"","allQUD"
2,"english","2.50",1,"Female","","25","Yes",241,"I feel that the agree and disagree should be on the page, that way people don't forget, which key it is.","allQUD"
2,"english","$2",1,"Male","none","30","Yes",242,"none","allQUD"
1,"English","1.50",1,"Male","not exactly, but it was  it was a difficult decision when the voice said some of the gumballs, but I got all of them. I didn't know what choice to make.","28","Yes",243,"","allQUD"
3,"English","1.5",1,"Male",NA,"35","Yes",244,"","allQUD"
2,"English","1.50",1,"Male","no","25","No",245,"thank you For the survey","allQUD"
3,"English","75",2,"Female","none","61","Yes",246,"interesting","allQUD"
3,"English","1.50",2,"Male","No","52","Yes",247,"Good Survey.. Looking forward more","allQUD"
3,"English","yes",2,"Male","no","29","Yes",248,"When I got all the gum balls but the machine said ""you got some of the gum balls"" I wasn't sure if it was better for the clerk if I said yes or no. I kept flip flopping on my answer.","allQUD"
4,"English","1.50",2,"Female","No problems","35","Yes",249,"Good and interesting","allQUD"
3,"English","dk",1,"Male","no","37","Yes",250,"","allQUD"
2,"English","1.50",2,"Female","none","54","Yes",251,"","allQUD"
2,"english","",2,"Male","no","54","Yes",252,"It was fun and relaxing","allQUD"
2,"english","1.50",2,"Male","No, it was really fast though.","33","Yes",253,"It was really interesting to see that saying ""some of the gumballs"" sounded correct but becomes incorrect if it's actually the rest of them.","allQUD"
2,"english","2",2,"Female","nope","55","Yes",254,"","allQUD"
3,"English","2",1,"Female","NO","37","Confused",255,"Like this survey.","allQUD"
2,"en","1.50",2,"Male","","57","Yes",256,"","allQUD"
4,"English","2",2,"Male","no","32","Yes",257,"good","allQUD"
3,"english","1.50",1,"Female","no","48","Yes",258,"","allQUD"
3,"english","yes",2,"Male","none","35","Yes",259,"good","allQUD"
1,"English","1.50",2,"Female","no","48","Yes",260,"","allQUD"
3,"engish","50",1,"Male","very good","30","Yes",261,"very good","allQUD"
2,"English","1.50",1,"Female","no","62","Yes",262,"","allQUD"
3,"English","yes",2,"Female","No","35","Yes",263,"none","allQUD"
4,"English","1.50",2,"Female","No problems","38","Yes",264,"Its an interesting study to hear and make decision.","allQUD"
1,"English","1.50",2,"Female","","34","Yes",265,"","allQUD"
2,"English","1.50",2,"Male","None at all","41","Confused",266,"I hope I did this correctly, I was only confused with the none or all counting for the amount taken or the amount left in the machine.  I counted the amount taken, I hope that was right","allQUD"
2,"english","$2",1,"Male","no","39","Yes",267,"","allQUD"
3,"english","no",1,"Male","none","33","Yes",268,"is good","allQUD"
2,"English","2.00",1,"Female","No","32","Yes",269,"","allQUD"
2,"englidh","",1,"Female","no","36","Yes",270,"","allQUD"
3,"English","1.50",2,"Male","No.","42","Yes",271,"No comments.","allQUD"
2,"english","yes",1,"Female","no","34","Yes",272,"","allQUD"
3,"Gujarati","5.00",1,"Female","No","50","Yes",273,"","allQUD"
2,"English","2",2,"Female","no","48","Yes",274,"This was a very good experiment and I would like to see more like this. Keep up the good work!","allQUD"
2,"English","Yes",2,"Male","I heard a windows crashing sound a few times.","28","",275,"
","allQUD"
1,"English","1.50",1,"Male","None","29","Yes",276,"None","allQUD"
3,"English","1.50",2,"Male","none","48","Yes",277,"","allQUD"
3,"English","1.50",2,"Female","no","52","Yes",278,"Two things: 1) for example, if she said you got 2 of the gumballs and 5 fell through, I answered True because there were 2 (+3). Also, 2) for some reason my brain really wanted to press F for true and j for false. I understood the survey, but it still felt subjective and unnatural. I hope my responses help...","allQUD"
2,"english","1.50",2,"Female","no","48","Yes",279,"","allQUD"
3,"English","1.00",2,"Male","no","33","No",280,"fun hit","allQUD"
2,"English","1.50 seems good, I think $12 per hour is proper so every 5 minutes should be a dollar for Mechanical Turk workers who strive to give perfect results and feedback to researchers.",1,"Male","I think my satellite internet was cutting off my answers and I wasn't able to answer some. I only failed to answer ONE within the 4 second time limit, the rest I was cut off unfairly (less than 1 second)","29","Yes",281,"Thank you for the opportunity to join you on this research. I believe a dollar per 5 minutes of work is proper for United States Mechanical Turk workers. I finished your work in 10 minutes, so you were right in the middle at $9/hour for me. I love reading science and helping researchers but I feel rushed when the pay is low. I try my best to give accurate results. I think this type of service should be valuable, although I know that compiling surveys is also work which means you and I are more coworkers than employer-employee. I think Amazon should cut their own profits to help individual researchers who don't have research funding in order to raise worker pay so it's not at the surveyors expense. Just some thoughts, have a great week!","allQUD"
3,"English","Sure",-1,"Male","A couple messed up","40","Yes",282,"All good. Thanks.","allQUD"
4,"English","3.00",2,"Female","not really","24","Yes",283,"","allQUD"
3,"English","effective",2,"Female","like","42","Yes",284,"very effective in this study","allQUD"
4,"English","2",1,"Male","Nope","41","Yes",285,"I guess I could see where it might be correct when she said I got two of the gumballs and I really got more than two. I don't think it works the other way. Same with getting ""some"" of the gumballs; I think some constitutes any number.","allQUD"
1,"english","Yes",1,"Male","I'm not sure about that.","36","Confused",286,"None","allQUD"
3,"english","2.00",1,"Female","no","35","Yes",287,"no comments","allQUD"
3,"English","yes",2,"Male","","53","Yes",288,"When you had more than 5 gumballs to count, it was hard to do in 4 seconds and make sure you were correct.","allQUD"
1,"English","$2",2,"Female","No issues with the experiment, but I may have pressed the wrong key once or twice. I apologize for that.","32","Yes",289,"","allQUD"
2,"English","2.00",1,"Male","","25","Yes",290,"","allQUD"
2,"english","3.00",1,"Male","no","36","Yes",291,"","allQUD"
3,"English","Yes",2,"Male","There were no problems or bugs in the experiment","41","Yes",292,"I liked working on this experiment.","allQUD"
1,"english","2.00",1,"Male","none","21","Yes",293,"gimme more!","allQUD"
3,"english","1.50",1,"Female","No issues","31","Yes",294,"","allQUD"
3,"English","Sure",1,"Male","No","43","Yes",295,"Interesting ","allQUD"
3,"english","no",0,"Male","no","30","Yes",296,"","allQUD"
2,"english","1.50",1,"Male","no","25","Yes",297,"ty","allQUD"
3,"english","yes",2,"Male","no","38","Yes",298,"nice","allQUD"
3,"English","1.50",2,"Male","no","52","Yes",299,"","allQUD"
3,"English","50",2,"Female","NO","39","Yes",300,"Interesting this survey.","allQUD"
3,"English","1.50",1,"Male","","35","Yes",301,"While I read the instructions, I don't know if I missed something. Especially the part where all the gumballs fell out, but the machine notified that ""You got some of the gumballs"" I disagreed seeing as how it would falsify to the clerk that there would still be some in the machine leftover, which would not require him to refill the machine with more. Not sure if that was the primary focus of this study, but I did my best based on reasoning.","allQUD"
3,"English","1.50",1,"Male","None.","45","Yes",302,"I struggled with thinking about whether the statement was correct or did I let it really inform the worker of it being empty.","allQUD"
3,"English","1.50",1,"Male","no","30","Yes",303,"Everything worked fine.","allQUD"
4,"English","1.50",2,"Female","no","70","Yes",304,"If I got all of the gumballs, and the narrator said ""you got some of the gumballs""  is that correct?  should I have said no unless I was asked if I got all of the gumballs  I said yes, that I got some, when I got all.","allQUD"
