slide_type,image,slide_number,response,Answer.condition,workerid,audio,Answer.time_in_minutes
trial_2,0,51,"[1735, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_2,13,52,"[1718, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,13,53,"[1883, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,8,54,"[2720, 'Yes']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_2,5,55,"[1814, 'No']",age2-anyQUD,0,two.wav,10.863166666666666
trial_2,13,56,"[1647, 'No']",age2-anyQUD,0,none.wav,10.863166666666666
trial_2,0,57,"[1533, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,13,58,"[1433, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,13,59,"[1566, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,8,60,"[2794, 'Yes']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_2,5,61,"[2040, 'Yes']",age2-anyQUD,0,five.wav,10.863166666666666
trial_2,2,62,"[1569, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_2,0,63,"[1820, 'No']",age2-anyQUD,0,three.wav,10.863166666666666
trial_2,5,64,"[1895, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,8,65,"[1654, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,8,66,"[1817, 'No']",age2-anyQUD,0,two.wav,10.863166666666666
trial_2,13,67,"[1784, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,13,68,"[1672, 'Yes']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,2,69,"[1835, 'No']",age2-anyQUD,0,none.wav,10.863166666666666
trial_2,13,70,"[1720, 'No']",age2-anyQUD,0,five.wav,10.863166666666666
trial_2,5,71,"[1975, 'No']",age2-anyQUD,0,nine.wav,10.863166666666666
trial_2,2,72,"[1628, 'Yes']",age2-anyQUD,0,two.wav,10.863166666666666
trial_2,8,73,"[2151, 'Yes']",age2-anyQUD,0,eight.wav,10.863166666666666
trial_2,5,74,"[2462, 'Yes']",age2-anyQUD,0,five.wav,10.863166666666666
trial_2,2,75,"[2029, 'No']",age2-anyQUD,0,twelve.wav,10.863166666666666
trial_2,11,76,"[2030, 'Yes']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,13,77,"[1705, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,0,78,"[1664, 'Yes']",age2-anyQUD,0,none.wav,10.863166666666666
trial_2,13,79,"[1693, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,11,80,"[1868, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,0,81,"[1439, 'No']",age2-anyQUD,0,all.wav,10.863166666666666
trial_2,0,82,"[1477, 'No']",age2-anyQUD,0,summa.wav,10.863166666666666
trial_2,11,83,"[4362, 'Yes']",age2-anyQUD,0,eleven.wav,10.863166666666666
bot_check,Jennifer,1,"[0, 'Jennifer']",age2-anyQUD,1,,8.813633333333334
audio_check,,3,"[0, 'Four']",age2-anyQUD,1,,8.813633333333334
comprehension_check_1,,4,"[0, 'Jam']",age2-anyQUD,1,,8.813633333333334
practice_trial,13,6,"[2035, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
practice_trial,13,7,"[1725, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
practice_trial,0,8,"[1367, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
practice_trial,0,9,"[1432, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_1,2,11,"[1519, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_1,2,12,"[1324, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_1,8,13,"[1425, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,2,14,"[1224, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,11,15,"[1413, 'Yes']",age2-anyQUD,1,thirteen.wav,8.813633333333334
trial_1,13,16,"[1291, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,5,17,"[1230, 'Yes']",age2-anyQUD,1,four.wav,8.813633333333334
trial_1,8,18,"[1256, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_1,5,19,"[1317, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,0,20,"[1143, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,8,21,"[1501, 'Yes']",age2-anyQUD,1,eleven.wav,8.813633333333334
trial_1,13,22,"[1315, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,13,23,"[1156, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_1,0,24,"[1212, 'Yes']",age2-anyQUD,1,five.wav,8.813633333333334
trial_1,13,25,"[1129, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,0,26,"[1448, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_1,13,27,"[1514, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,8,28,"[1311, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_1,11,29,"[2501, 'Yes']",age2-anyQUD,1,seven.wav,8.813633333333334
trial_1,0,30,"[2674, 'Yes']",age2-anyQUD,1,eleven.wav,8.813633333333334
trial_1,13,31,"[1369, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,2,32,"[1344, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_1,0,33,"[2137, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,5,34,"[903, 'Yes']",age2-anyQUD,1,five.wav,8.813633333333334
trial_1,5,35,"[1227, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,13,36,"[1500, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,5,37,"[1834, 'No']",age2-anyQUD,1,ten.wav,8.813633333333334
trial_1,11,38,"[1791, 'Yes']",age2-anyQUD,1,eleven.wav,8.813633333333334
trial_1,2,39,"[1619, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_1,13,40,"[1897, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,0,41,"[1682, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_1,11,42,"[1363, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,13,43,"[1358, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_1,8,44,"[1395, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_1,11,45,"[1537, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_1,0,46,"[1994, 'Yes']",age2-anyQUD,1,none.wav,8.813633333333334
comprehension_check_2,,47,"[0, 'Jam']",age2-anyQUD,1,,8.813633333333334
trial_2,8,48,"[1916, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_2,0,49,"[1571, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,11,50,"[1654, 'No']",age2-anyQUD,1,one.wav,8.813633333333334
trial_2,13,51,"[1942, 'No']",age2-anyQUD,1,ten.wav,8.813633333333334
trial_2,8,52,"[2024, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_2,5,53,"[1428, 'No']",age2-anyQUD,1,two.wav,8.813633333333334
trial_2,13,54,"[1319, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,13,55,"[2485, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,5,56,"[1330, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,0,57,"[2747, 'Yes']",age2-anyQUD,1,none.wav,8.813633333333334
trial_2,13,58,"[1795, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_2,13,59,"[996, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,5,60,"[1461, 'Yes']",age2-anyQUD,1,five.wav,8.813633333333334
trial_2,8,61,"[1356, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,2,62,"[1458, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_2,13,63,"[1623, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,2,64,"[1485, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,0,65,"[1502, 'No']",age2-anyQUD,1,three.wav,8.813633333333334
trial_2,8,66,"[1659, 'No']",age2-anyQUD,1,two.wav,8.813633333333334
trial_2,11,67,"[1724, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,0,68,"[1533, 'Yes']",age2-anyQUD,1,none.wav,8.813633333333334
trial_2,8,69,"[1762, 'Yes']",age2-anyQUD,1,eight.wav,8.813633333333334
trial_2,13,70,"[2070, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,13,71,"[1011, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,13,72,"[1509, 'No']",age2-anyQUD,1,five.wav,8.813633333333334
trial_2,0,73,"[3062, 'Yes']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,2,74,"[1400, 'No']",age2-anyQUD,1,none.wav,8.813633333333334
trial_2,13,75,"[1715, 'No']",age2-anyQUD,1,summa.wav,8.813633333333334
trial_2,2,76,"[1231, 'Yes']",age2-anyQUD,1,two.wav,8.813633333333334
trial_2,11,77,"[1986, 'Yes']",age2-anyQUD,1,eleven.wav,8.813633333333334
trial_2,11,78,"[1392, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,0,79,"[1600, 'No']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,13,80,"[1241, 'Yes']",age2-anyQUD,1,all.wav,8.813633333333334
trial_2,2,81,"[1982, 'No']",age2-anyQUD,1,twelve.wav,8.813633333333334
trial_2,5,82,"[1115, 'Yes']",age2-anyQUD,1,five.wav,8.813633333333334
trial_2,5,83,"[1378, 'No']",age2-anyQUD,1,nine.wav,8.813633333333334
bot_check,Linda,1,"[0, 'Linda']",age2-anyQUD,2,,13.05235
audio_check,,3,"[0, 'Four']",age2-anyQUD,2,,13.05235
comprehension_check_1,,4,"[0, 'Jam']",age2-anyQUD,2,,13.05235
practice_trial,13,6,"[1786, 'No']",age2-anyQUD,2,none.wav,13.05235
practice_trial,13,7,"[2109, 'Yes']",age2-anyQUD,2,all.wav,13.05235
practice_trial,0,8,"[2687, 'No']",age2-anyQUD,2,all.wav,13.05235
practice_trial,0,9,"[1788, 'Yes']",age2-anyQUD,2,none.wav,13.05235
trial_1,13,11,"[1722, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_1,13,12,"[4056, 'No']",age2-anyQUD,2,eight.wav,13.05235
trial_1,0,13,"[1986, 'Yes']",age2-anyQUD,2,none.wav,13.05235
trial_1,13,14,"[1523, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_1,5,15,"[2728, 'No']",age2-anyQUD,2,four.wav,13.05235
trial_1,2,16,"[1899, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_1,8,17,"[4851, 'No']",age2-anyQUD,2,eleven.wav,13.05235
trial_1,2,18,"[2179, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_1,13,19,"[4477, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_1,2,20,"[1804, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_1,0,21,"[1991, 'No']",age2-anyQUD,2,five.wav,13.05235
trial_1,0,22,"[1972, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_1,13,23,"[1992, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_1,11,24,"[3983, 'No']",age2-anyQUD,2,thirteen.wav,13.05235
trial_1,8,25,"[3714, 'Yes']",age2-anyQUD,2,summa.wav,13.05235
trial_1,5,26,"[1723, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_1,8,27,"[1685, 'No']",age2-anyQUD,2,none.wav,13.05235
trial_1,8,28,"[2516, 'Yes']",age2-anyQUD,2,eight.wav,13.05235
trial_1,5,29,"[1731, 'No']",age2-anyQUD,2,ten.wav,13.05235
trial_1,13,30,"[2095, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_1,5,31,"[1500, 'Yes']",age2-anyQUD,2,five.wav,13.05235
trial_1,0,32,"[1674, 'Yes']",age2-anyQUD,2,none.wav,13.05235
trial_1,2,33,"[1682, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_1,11,34,"[2271, 'No']",age2-anyQUD,2,seven.wav,13.05235
trial_1,5,35,"[2532, 'Yes']",age2-anyQUD,2,summa.wav,13.05235
trial_1,11,36,"[5392, 'Yes']",age2-anyQUD,2,eleven.wav,13.05235
trial_1,0,37,"[1886, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_1,13,38,"[1462, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_1,2,39,"[1675, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_1,0,40,"[1752, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_1,8,41,"[2447, 'Yes']",age2-anyQUD,2,eight.wav,13.05235
trial_1,13,42,"[2116, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_1,0,43,"[2075, 'No']",age2-anyQUD,2,eleven.wav,13.05235
trial_1,11,44,"[1751, 'No']",age2-anyQUD,2,none.wav,13.05235
trial_1,11,45,"[1614, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_1,13,46,"[1816, 'No']",age2-anyQUD,2,summa.wav,13.05235
comprehension_check_2,,47,"[0, 'Jam']",age2-anyQUD,2,,13.05235
trial_2,8,48,"[2878, 'Yes']",age2-anyQUD,2,eight.wav,13.05235
trial_2,2,49,"[2242, 'Yes']",age2-anyQUD,2,summa.wav,13.05235
trial_2,8,50,"[2377, 'Yes']",age2-anyQUD,2,eight.wav,13.05235
trial_2,0,51,"[1602, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,8,52,"[1647, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_2,13,53,"[2351, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,0,54,"[2105, 'No']",age2-anyQUD,2,three.wav,13.05235
trial_2,13,55,"[1679, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_2,5,56,"[2158, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_2,13,57,"[2737, 'No']",age2-anyQUD,2,ten.wav,13.05235
trial_2,5,58,"[1654, 'No']",age2-anyQUD,2,two.wav,13.05235
trial_2,13,59,"[1629, 'No']",age2-anyQUD,2,none.wav,13.05235
trial_2,13,60,"[1250, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_2,5,61,"[1556, 'Yes']",age2-anyQUD,2,five.wav,13.05235
trial_2,2,62,"[1558, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_2,13,63,"[1804, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,0,64,"[1780, 'Yes']",age2-anyQUD,2,none.wav,13.05235
trial_2,11,65,"[2144, 'No']",age2-anyQUD,2,one.wav,13.05235
trial_2,13,66,"[1731, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,2,67,"[1964, 'No']",age2-anyQUD,2,twelve.wav,13.05235
trial_2,0,68,"[1500, 'Yes']",age2-anyQUD,2,none.wav,13.05235
trial_2,11,69,"[5319, 'Yes']",age2-anyQUD,2,eleven.wav,13.05235
trial_2,2,70,"[1673, 'Yes']",age2-anyQUD,2,two.wav,13.05235
trial_2,5,71,"[1637, 'No']",age2-anyQUD,2,nine.wav,13.05235
trial_2,8,72,"[2047, 'No']",age2-anyQUD,2,two.wav,13.05235
trial_2,13,73,"[1570, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_2,0,74,"[1620, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,13,75,"[1657, 'Yes']",age2-anyQUD,2,all.wav,13.05235
trial_2,5,76,"[1659, 'Yes']",age2-anyQUD,2,five.wav,13.05235
trial_2,8,77,"[2788, 'Yes']",age2-anyQUD,2,eight.wav,13.05235
trial_2,2,78,"[1694, 'No']",age2-anyQUD,2,none.wav,13.05235
trial_2,13,79,"[1548, 'No']",age2-anyQUD,2,summa.wav,13.05235
trial_2,11,80,"[2038, 'No']",age2-anyQUD,2,all.wav,13.05235
trial_2,13,81,"[1904, 'No']",age2-anyQUD,2,five.wav,13.05235
trial_2,11,82,"[4274, 'Yes']",age2-anyQUD,2,summa.wav,13.05235
trial_2,0,83,"[1692, 'No']",age2-anyQUD,2,all.wav,13.05235
bot_check,Sarah,1,"[0, 'Sarah']",age2-anyQUD,3,,10.860783333333334
audio_check,,3,"[0, 'Four']",age2-anyQUD,3,,10.860783333333334
comprehension_check_1,,4,"[0, 'Jam']",age2-anyQUD,3,,10.860783333333334
practice_trial,13,6,"[2355, 'No']",age2-anyQUD,3,none.wav,10.860783333333334
practice_trial,13,7,"[2132, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
practice_trial,0,8,"[1650, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
practice_trial,0,9,"[2171, 'Yes']",age2-anyQUD,3,none.wav,10.860783333333334
trial_1,8,11,"[3521, 'No']",age2-anyQUD,3,eleven.wav,10.860783333333334
trial_1,5,12,"[2005, 'No']",age2-anyQUD,3,four.wav,10.860783333333334
trial_1,8,13,"[3972, 'Yes']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,8,14,"[2502, 'Yes']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_1,0,15,"[1724, 'No']",age2-anyQUD,3,five.wav,10.860783333333334
trial_1,13,16,"[1934, 'No']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_1,13,17,"[1780, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,8,18,"[1740, 'No']",age2-anyQUD,3,none.wav,10.860783333333334
trial_1,13,19,"[1636, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,2,20,"[1590, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,2,21,"[1501, 'Yes']",age2-anyQUD,3,two.wav,10.860783333333334
trial_1,2,22,"[1669, 'Yes']",age2-anyQUD,3,two.wav,10.860783333333334
trial_1,13,23,"[2955, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,0,24,"[1790, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,5,25,"[1571, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,13,26,"[2549, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,11,27,"[7919, 'No']",age2-anyQUD,3,thirteen.wav,10.860783333333334
trial_1,0,28,"[1572, 'Yes']",age2-anyQUD,3,none.wav,10.860783333333334
trial_1,5,29,"[1691, 'No']",age2-anyQUD,3,ten.wav,10.860783333333334
trial_1,11,30,"[1811, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,8,31,"[2029, 'Yes']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_1,2,32,"[1723, 'Yes']",age2-anyQUD,3,two.wav,10.860783333333334
trial_1,13,33,"[1812, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,11,34,"[6454, 'Yes']",age2-anyQUD,3,eleven.wav,10.860783333333334
trial_1,11,35,"[2525, 'No']",age2-anyQUD,3,seven.wav,10.860783333333334
trial_1,13,36,"[1628, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,2,37,"[1508, 'Yes']",age2-anyQUD,3,two.wav,10.860783333333334
trial_1,0,38,"[1638, 'Yes']",age2-anyQUD,3,none.wav,10.860783333333334
trial_1,5,39,"[1636, 'Yes']",age2-anyQUD,3,five.wav,10.860783333333334
trial_1,5,40,"[2028, 'Yes']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,13,41,"[1659, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,0,42,"[1631, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_1,11,43,"[1796, 'No']",age2-anyQUD,3,none.wav,10.860783333333334
trial_1,0,44,"[1847, 'No']",age2-anyQUD,3,eleven.wav,10.860783333333334
trial_1,0,45,"[1891, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_1,13,46,"[1940, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
comprehension_check_2,,47,"[0, 'Jam']",age2-anyQUD,3,,10.860783333333334
trial_2,2,48,"[2813, 'Yes']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,11,49,"[1835, 'No']",age2-anyQUD,3,one.wav,10.860783333333334
trial_2,13,50,"[1590, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,2,51,"[1484, 'Yes']",age2-anyQUD,3,two.wav,10.860783333333334
trial_2,5,52,"[1567, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,13,53,"[9303, 'No']",age2-anyQUD,3,ten.wav,10.860783333333334
trial_2,8,54,"[2053, 'Yes']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_2,13,55,"[1564, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,13,56,"[1468, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,0,57,"[1626, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,8,58,"[2572, 'Yes']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_2,5,59,"[1849, 'No']",age2-anyQUD,3,two.wav,10.860783333333334
trial_2,13,60,"[1740, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,0,61,"[1604, 'No']",age2-anyQUD,3,three.wav,10.860783333333334
trial_2,8,62,"[1636, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,13,63,"[1685, 'No']",age2-anyQUD,3,none.wav,10.860783333333334
trial_2,0,64,"[1538, 'Yes']",age2-anyQUD,3,none.wav,10.860783333333334
trial_2,5,65,"[1606, 'Yes']",age2-anyQUD,3,five.wav,10.860783333333334
trial_2,8,66,"[2162, 'Yes']",age2-anyQUD,3,eight.wav,10.860783333333334
trial_2,13,67,"[1797, 'No']",age2-anyQUD,3,five.wav,10.860783333333334
trial_2,13,68,"[1500, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,11,69,"[2598, 'Yes']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,13,70,"[1547, 'Yes']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,0,71,"[1595, 'Yes']",age2-anyQUD,3,none.wav,10.860783333333334
trial_2,5,72,"[1563, 'No']",age2-anyQUD,3,nine.wav,10.860783333333334
trial_2,2,73,"[1998, 'No']",age2-anyQUD,3,twelve.wav,10.860783333333334
trial_2,11,74,"[1644, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,13,75,"[1863, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,13,76,"[1723, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,2,77,"[1542, 'No']",age2-anyQUD,3,none.wav,10.860783333333334
trial_2,0,78,"[1522, 'No']",age2-anyQUD,3,all.wav,10.860783333333334
trial_2,0,79,"[1635, 'No']",age2-anyQUD,3,summa.wav,10.860783333333334
trial_2,11,80,"[3684, 'Yes']",age2-anyQUD,3,eleven.wav,10.860783333333334
trial_2,5,81,"[1812, 'Yes']",age2-anyQUD,3,five.wav,10.860783333333334
