"gender","comments","age","language","education","workerid","fairprice","problems","enjoyment","asses","speaker_cond"
"Male","","29","English",2,115,"yes and I'm extremely grateful to researchers like you who work with needy people like me","Aside from 3 human errors, sometimes it gave a CANCEL windows noise and just said 'press space for next' despite not having entered anything.",2,"Yes","allQUD"
"Male"," It was fun but glitchy","56","English",3,116,"2","yes sometimes before the gumballs fell to the bottom, the screen would make a sound and change to the page asking me to hit the space bar, as if it timed out or something, but it did not time out because the gumablls had not even started to fall down so how can I answer within less than a second after the gunball page had loaded and barely started to work? I think this happened 3 or 4 times. I never got to answer for those occasions.",1,"Yes","allQUD"
"Other","","27","English",2,117,"2.50","Nothing comes to mind, though I accidentally clicked one or two incorrectly",1,"Yes","allQUD"
"Male","I didn't realize I was supposed to be counting the bottom section until halfway thru the experiment. I thought I was supposed to be counting the balls in the top section for the first half of the experiment.","41","English",3,118,"$2","no",2,"Confused","allQUD"
"Male","","31","swahili",3,119,"no","time",1,"Yes","allQUD"
"Female","I think I messed up twice, poor guy got fired ;-)","36","english",2,120,"yes","no",2,"Yes","allQUD"
"Male","","24","English",3,121,"5.00","",1,"Confused","allQUD"
"Female","","26","english",3,122,"","",2,"Yes","allQUD"
"Male","","31","English",3,123,"2.00","no",1,"Yes","allQUD"
"Female","That was an interesting HIT. Thanks for the work. ","31","English",3,124,"2.00","No",1,"Yes","allQUD"
"Male","The only confusion I had was when 10 dropped and the machine said ""You got 5 of the gumballs."" While it was technically true, it was overall false because more were dropped than that, so I went with false.","46","English",3,125,"1.50","No, no bugs.",2,"Yes","allQUD"
"Female","","29","English",2,126,"yes","no",1,"Yes","allQUD"
"Female","","54","English",2,127,"maybe","no",2,"Yes","allQUD"
"Female","","25","English",4,128,"$2 is fair.","Sometimes I would time out in the gumball before the person even said anything. This happened maybe 4-5x",1,"Yes","allQUD"
"Male","","48","English",3,129,"2","no",2,"Yes","allQUD"
"Female","Thank you!","60","English",3,130,"2.50","no bugs.",2,"Yes","allQUD"
"Male","n/a","26","English",2,131,"yes","no",2,"Yes","allQUD"
"Male","","22","English",3,132,"$2 is fine","None",2,"No","allQUD"
"Female","None","48","English",3,133,"2","No",2,"Yes","allQUD"
"Female","","24","English",2,134,"2","",2,"Yes","allQUD"
"Male","Not sure why you use exact numbers for some scenarios. Having to accurately count up the number of gumballs when given a 4 second time constraint is likely to lead to mistakes in responses. If you're going to use accurate numbers, provide a count of the number of gumballs in the machine beforehand so that participants can rapidly discern how many are in the top portion or bottom portions. Not knowing the exact count makes it harder to determine if 8 to 11 are on the bottom within 4 seconds.","33","English",3,135,"2","",2,"Yes","allQUD"
"Male","Thank you. ","43","English",3,136,"4","No issues.",2,"Yes","allQUD"
"Male","no","58","English",1,137,"3","no",2,"Yes","allQUD"
"Male","good","30","english",4,138,"200","no",1,"Yes","allQUD"
"Male","","34","English",3,139,"2.50","",1,"Yes","allQUD"
"Female","","29","English",3,140,"yes","No problems",1,"Yes","allQUD"
"Male","Fun hit. ","43","english",3,141,"2.00","none",2,"Yes","allQUD"
"Male","","33","English",2,142,"2.50","No.",1,"Yes","allQUD"
"Male","","25","english",-1,143,"yes","",1,"No","allQUD"
"Female","","31","English",3,144,"2","no",1,"Yes","allQUD"
"Female","no comments","39","English",3,145,"$2","No",2,"Yes","allQUD"
"Male","","27","english",1,146,"2.00","no issues",2,"Yes","allQUD"
"Female","","33","english",3,147,"3.00","no",1,"Yes","allQUD"
"Male","None have a nice day!","28","English",3,148,"2.00","No",2,"Yes","allQUD"
"Male","Thank you and best of luck with your research.","51","English",2,149,"yes","No",2,"Yes","allQUD"
"Male","","30","English",2,150,"yes","2 went ahead without me hitting F or J instantly",2,"Yes","allQUD"
"Male","none","22","Spanish",2,151,"3","no",2,"Yes","allQUD"
"Male","","25","english",4,152,"3","no",2,"Yes","allQUD"
"Male","","30","English",2,153,"2","no",2,"Yes","allQUD"
"Male","","32","English",3,154,"2.00","",2,"Yes","allQUD"
"Female","I really enjoyed this.","26","English",3,155,"2.00","it seemed like the hit was lagging",2,"Yes","allQUD"
"Female","","26","English",4,156,"2","no",2,"Yes","allQUD"
"Male","interesting","24","English",3,157,"2.00","nothing",2,"Yes","allQUD"
"Male","it was fun","22","english",1,158,"2","no",2,"Yes","allQUD"
"Male","","28","English",2,159,"3.00","",1,"Yes","allQUD"
"Male","Very interesting of this survey.","22","English",3,160,"I think very fair price for the work.","No",2,"Yes","allQUD"
"Male","No comments","26","English",3,161,"15","No",2,"Yes","allQUD"
"Male","good","28","english",3,162,"5.00","no",2,"Yes","allQUD"
"Female","For some reason agree was confusing for me being on the right instead of left.","29","English",3,163,"yes","no",1,"Yes","allQUD"
"Male","","72","english",2,164,"2.00","Sometimes I did not hear a question so I did not choose.",2,"Yes","allQUD"
"Male","","53","English",2,165,"2.00","No Bugs",2,"Yes","allQUD"
"Female","No comment.","36","English",3,166,"2.00","No",1,"Yes","allQUD"
"Male","I liked it just wished it was working correctly and we were competing against others or something :)","34","English",3,167,"mostly fair","it seemed like every 10 machines or so it would select an answer and give a windows error ding only giving me the option to proceed by pressing space bar not agree or disagree with it. that was in addition to my mistakes. ",2,"Yes","allQUD"
"Female","A18AP8I010IFW1     no place to put code","58","English",2,168,"yes","no",2,"Yes","allQUD"
"Male","","31","English",1,169,"3.00","no issues",1,"Yes","allQUD"
"Male","","22","English",2,170,"2.00","",2,"Yes","allQUD"
"Female","","24","english",2,171,"$2","no",2,"Yes","allQUD"
"Female","","30","english",1,172,"2.50","",2,"Yes","allQUD"
"Female","This was fun..","60","english",1,173,"2","no",2,"Yes","allQUD"
"Male","","41","English",3,174,"2","no",2,"Yes","allQUD"
"Female","","29","English",2,175,"3","The image went out a couple of times, a couple of times I couldn't hear the statement",2,"Yes","allQUD"
"Female","","33","English",3,176,"15","no",1,"No","allQUD"
"Male","","30","English",3,177,"$3.00","No.",1,"Yes","allQUD"
"Female","","24","english",3,178,"this is fair","no",1,"Yes","allQUD"
"Female","I enjoyed your experiment! The only thing I was unclear on was whether or not to agree or disagree when the gumball machine was empty and the speaker said ""you got some of the gumballs""","33","English",1,179,"2.00","No",2,"Yes","allQUD"
"Female","","26","english",3,180,"3.00","No",1,"Yes","allQUD"
"Female","","40","english",1,181,"yes","no",2,"Yes","allQUD"
"Female","","38","English",3,182,"2.00","No",1,"Yes","allQUD"
"Female","It was a good experiment. ","24","English",3,183,"yes","no",1,"No","allQUD"
"Male","","40","English",2,184,"2.00","No",2,"Yes","allQUD"
"Female","Like the game but please fix the bugs","38","English",3,185,"$2","machine zam and voice breaking bugs",2,"Confused","allQUD"
"Female","","49","English",3,186,"2","no",2,"Yes","allQUD"
"Male","","32","ENGLISH",3,187,"2","NO",2,"No","allQUD"
"Male","None","64","English",2,188,"2","None",2,"Yes","allQUD"
"Male","None really, thank you","50","English",2,189,"yes","none",2,"Yes","allQUD"
"Female","","45","English",2,190,"Yes","None",2,"Yes","allQUD"
"Male","You should say whether I was correct or not at the example trials","35","English",4,191,"2","the machine says ""you got"" but does that mean the remaining number of the gumballs or the ones that it gives away.",1,"Confused","allQUD"
"Female","This hit was interesting to do. The only issue that I had was that sometimes the voice did not tell the number of gumballs so I had to guess an amount.","53","English",3,192,"2.00","Sometimes the number of gumballs gotten was not told. So I had to guess. ",2,"Yes","allQUD"
"Female","Very fun and interesting","34","English",1,193,"2.00","No",2,"Yes","allQUD"
"Female","Thank you!","30","English",1,194,"2 dollars","No.",2,"No","allQUD"
"Female","interesting hit.","22","English",3,195,"3","no",1,"Yes","allQUD"
"Female","","26","English",2,196,"2.50","No.",1,"Yes","allQUD"
"Male","Very interesting the survey.","39","English",4,197,"100","no",2,"Yes","allQUD"
"Male","n/a","22","English",2,198,"2","no",2,"No","allQUD"
"Female","","32","english",2,199,"yes","no",2,"Yes","allQUD"
"Male","I was confused at first by the scenario and what was meant that the clerk ""had"" the gumballs. If other people are buying them, why does he have them?","55","English",2,200,"yes","No problems",2,"Yes","allQUD"
"Male","","25","english",2,201,"","",1,"Yes","allQUD"
"Male","","37","English",2,202,"Yes","",2,"Yes","allQUD"
"Female","","35","English",3,203,"2.00","No",1,"Yes","allQUD"
"Male","","57","English",3,204,"2","no",2,"Yes","allQUD"
"Male","thank you","43","English",2,205,"2","no",2,"Yes","allQUD"
"Female","none","45","engish",2,206,"2.00","no",2,"Yes","allQUD"
"Female","","35","english",3,207,"2.00","no",1,"Yes","allQUD"
"Female","thank you!","28","English",2,208,"2","no",2,"Yes","allQUD"
"Female","In order to protect the clerk's job, I regarded ""some"" of the gumballs to only apply when there were gumballs left.","49","English",3,209,"2.00","none",2,"Yes","allQUD"
"Male","","32","English ",3,210,"2.00","",1,"Yes","allQUD"
"Male","","28","Englsih",3,211,"1.50","No",1,"Confused","allQUD"
"Male","Interesting study","53","English",4,212,"2 dollars","No",2,"Yes","allQUD"
"Female","","29","English",2,213,"3.00","No",1,"Yes","allQUD"
"Female","","41","english",3,214,"3","no",1,"","allQUD"
"Female","","28","English",3,215,"3","No",2,"Yes","allQUD"
"Male","none","30","English",1,216,"2.25","None",2,"Yes","allQUD"
"Male","","36","English",4,217,"2.00","Not that I saw",2,"Yes","allQUD"
"Male","no problems","45","English",2,218,"2.00","no problems",2,"Yes","allQUD"
"Female","","28","English",3,219,"2","The voice was 1 result ahead of the animation",2,"Yes","allQUD"
"Male","","28","Chinese",3,220,"3","No",1,"Yes","allQUD"
"Male","No further comments, thanks! ","40","English ",2,221,"2.50","No bugs at all. ",1,"Yes","allQUD"
"Male","","35","English",3,222,"2.50","no",1,"Yes","allQUD"
"Female","Well, I went back and forth a couple of times, I was answering truthfully according to voice, then remembered clerk would get fired if lying, for most of the answers I kept that in mind.","54","English",2,223,"2.00","no",1,"Yes","allQUD"
"Female","","29","English",3,224,"2.50","No",2,"Yes","allQUD"
"Male","thanks","38","english",3,225,"yes","",1,"Yes","allQUD"
"Male","","60","English",4,226,"3.00","",2,"Yes","allQUD"
"Male","none","51","English",3,227,"yes","no",2,"Yes","allQUD"
"Male","","40","eng",2,228,"2","no",2,"Yes","allQUD"
"Female","","43","English",3,229,"2.00","no",1,"Yes","allQUD"
"Female","","28","English",2,230,"yes","none",1,"Yes","allQUD"
"Male","","45","English",2,231,"13/hr","",2,"Yes","allQUD"
"Male","","27","English",1,232,"2","no",2,"Yes","allQUD"
"Female","","31","english",3,233,"good","no",2,"Yes","allQUD"
"Male","","36","English",4,234,"3.00","none",2,"Yes","allQUD"
"Male","I didn't like the fact that the J which was a yes was all the way on my right side and F which was a no was all the way on the left.","26","English",2,235,"2.00","No.",2,"Yes","allQUD"
"Male","none","29","English",3,236,"3","no",2,"Yes","allQUD"
"Male","It would be nice to have a text indicator by the gumball machine to remind the user which button is agree, and which is disagree. Otherwise, good!","35","English",2,237,"2.25","None that I noticed.",2,"Yes","allQUD"
"Male","Than You For the survey","25","English",3,238,"2.00","no",2,"Yes","allQUD"
"Female","","34","United States",3,239,"$5","",2,"Confused","allQUD"
"Male","","28","English",2,240,"2.00","nope",2,"Yes","allQUD"
"Male","","28","English",1,241,"2.00","None.",1,"Yes","allQUD"
"Male","Very interesting I know what ones I got wrong and was disappointed when I got one wrong. I thought I would do it perfectly but I didn't.","45","English",2,242,"Yes","No problems",2,"Yes","allQUD"
"Female","","25","English",3,243,"3","no",2,"Yes","allQUD"
"Male","","42","English",3,244,"3.00","no",1,"Yes","allQUD"
"Female","Language was not a problem, it was enjoyable, but I am not sure I performed well","58","Spanish",3,245,"it's fair","not that I am aware of",2,"Confused","allQUD"
"Female","none","47","English",3,246,"sure","no",2,"Yes","allQUD"
"","","23","English",2,247,"Yes","None",2,"Yes","allQUD"
"Female","fun!","46","english",3,248,"2","no",2,"Yes","allQUD"
"Female","Everything was clear and loaded fine","31","English",2,249,"Yes","One time it didn't pick up the button presses",2,"Yes","allQUD"
"Male","","37","English",4,250,"yes","no",2,"Yes","allQUD"
"Male","I had a little trouble with deciding when some was appropriate though I am guessing that is part of what is being studied here. ","36","English",2,251,"2.00","no",2,"Yes","allQUD"
"Male","","23","english",1,252,"2.00","no",2,"Yes","allQUD"
"Male","No issues or other comments.","41","English",3,253,"$2","No.",2,"Yes","allQUD"
"Male","follow ups are welcome at bradco2001@protonmail.com I will be.","41","English",2,254,"4.50","I was confused, the cool down drill was to find out if you can get the gumballs so I assumed it was to reprot how may many gumballs were to fill in an empty slot.Whoa, I like this hit though.",2,"Yes","allQUD"
"Female","","31","English",3,255,"2.00","sometimes it progressed before I could make a judgement",2,"Yes","allQUD"
"Female","","30","english",2,256,"Yes","No",1,"Yes","allQUD"
"Male","","50","English",3,257,"$2","none",1,"No","allQUD"
"Female","No comments.  This was interesting.","36","English",2,258,"2.00","No problems at all.",1,"Yes","allQUD"
"Male","","21","english",3,259,"3","",1,"Yes","allQUD"
"Male","very interesting","39","en;gish",3,260,"yes","no",1,"Yes","allQUD"
"Male","","30","English",4,261,"3","NO",2,"No","allQUD"
"Male","","41","English",3,262,"$2.00","no",2,"Yes","allQUD"
"Male","n/a","33","English",1,263,"2","No.",2,"Yes","allQUD"
"Female","","34","english",2,264,"yes","no",1,"Yes","allQUD"
"Male","Everything ran smooth, this was an enjoyable HIT,  thank you","46","English",2,265,"2.00","no",2,"Yes","allQUD"
"Female","","27","english",2,266,"2.00","no",2,"Yes","allQUD"
"Female","Thank you so much! :D","26","English",2,267,"2.50","Sometimes some of the audio didn't seem clear.",2,"Yes","allQUD"
"Female","","59","eng",2,268,"2.00","no",2,"","allQUD"
"Male","You should keep the instructions for which letter is true or false on the screen during the entire test.  I forgot a few times for whatever reason. ","36","English",3,269,"2.00","",1,"Yes","allQUD"
"Male","","36","English",3,270,"2","I honestly didn't remember when the person got fired because the screen moved before I could read it so I had to just guess.",1,"No","allQUD"
"Male","","41","English",3,271,"3.00","A couple times it didn't let me respond before it thought I had taken to long, however, the voice hadn't even finished speaking before it timed the round out.",1,"Yes","allQUD"
"Male","","26","English",4,272,"$2.00","No",2,"Yes","allQUD"
"Male","","29","English",1,273,"2","no",2,"Yes","allQUD"
"Female","","32","English",1,274,"$2","No problems were experienced.",2,"Yes","allQUD"
"Male","I think A and D would have been better choices for Agree and Disagree.  I found myself wondering if I was selecting the right key from time to time","40","United States",3,275,"3.50","no",2,"Yes","allQUD"
"Female","very interesting and nice","35","English",4,276,"2.00","noyhing",2,"Yes","allQUD"
"Male","cool beans ","40","english",3,277,"2","none",2,"Yes","allQUD"
"Male","","25","English",2,278,"2.00","I think I did the gumball part correctly and there were no bugs, but the quiz question seemed confusing.",2,"Confused","allQUD"
"Female","","58","English",3,279,"2.00","No.",2,"Yes","allQUD"
"Male","","31","English",2,280,"yes","",1,"Yes","allQUD"
"Female","","37","English",2,281,"2","No",1,"Yes","allQUD"
"Male","NO COMMENT ","61","ENGLISH",3,282,"YES","NO",2,"Yes","allQUD"
"Male","When it said some, it was hard to tell what it meant. I went with the logic that some meant not all, but at least 1.","29","English",4,283,"Yes","",2,"Yes","allQUD"
"Male","","28","English",1,284,"Yes","No, everything seemed to work as intended.",2,"Yes","allQUD"
"Male","Well done.","33","English",3,285,"$2.00","No.",2,"Yes","allQUD"
"Female","","56","English",3,286,"Yes","No I just goofed on two",2,"Yes","allQUD"
"Male","","30","English, Spanish",3,287,"2.00","I experienced no issues with this experiment. ",1,"Yes","allQUD"
"Male","No comments, thank you!","23","English",1,288,"2","No problems.",1,"Yes","allQUD"
"Female","I think my thinking shifted from being so literal to being more fluid in my thinking of what some constituted in this scenario and how it impacted the worker","41","English",2,289,"yes","no",2,"Confused","allQUD"
"Male","No comments at this time","26","English",2,290,"5.00","No",2,"Yes","allQUD"
"Male","","37","English",1,291,"2.00","No",2,"Yes","allQUD"
"Female","That was so unique and so much fun! I want to do it again!","65","English",4,292,"","no problems",2,"Yes","allQUD"
"Female","interesting","22","english",3,293,"2.00","no",1,"Yes","allQUD"
"Male","","45","English",3,294,"yes","None",2,"Yes","allQUD"
"Female","","29","English",3,295,"2.00","no",1,"Confused","allQUD"
"Male","very good. nice survey.","30","English",4,296,"2","No problems. good.",2,"Yes","allQUD"
"Female","","31","english",3,297,"2.00","",2,"Yes","allQUD"
"Male","interesting","50","english",1,298,"2","no",2,"Yes","allQUD"
"Male","","33","english",3,299,"3.00","no",1,"Yes","allQUD"
"Male","","33","english",4,300,"2.00","sometimes screen would progress without my pushing anything and without any time passing (3 times)",1,"Yes","allQUD"
"Male","No comments","46","English",2,301,"yes","I didn't experience any problems.",2,"Yes","allQUD"
"Male","","29","ENGLISH",4,302,"2","NO",2,"No","allQUD"
"Male","Very interesting of this survey.","40","English",3,303,"I think very fair price.","no",2,"Yes","allQUD"
"Female","","46","english",2,304,"1.50","",2,"Yes","allQUD"
"Female","","63","english",1,305,"2.00","no",2,"Confused","allQUD"
"Male","","28","English",3,306,"yes","",2,"Yes","allQUD"
"Female","fun study","29","English",1,307,"2.00","no",2,"Yes","allQUD"
"Male","","35","English",2,308,"2.00","",1,"Yes","allQUD"
"Female","none ","32","English ",3,309,"3","none ",1,"Yes","allQUD"
"Male","I would love to see the distribution of answers for this- especially the non-binary scenario instances.  Interesting one- enjoy the good parts of your day.","47","Enjoy",3,310,"3.75","There was one slide that had no audio, and thus I timed out without an answer.  The other one, I was thinking too long.",2,"Yes","allQUD"
"Male","good","30","english",2,311,"300","no",1,"Yes","allQUD"
"Male","N/A","26","English",4,312,"2.50","No. ",2,"Yes","allQUD"
"Female","","43","English",4,313,"$2","no",1,"Yes","allQUD"
"Male","","44","English",3,314,"2.25","",2,"Yes","allQUD"
"Female","Thank you for the opportunity to do this fun hit. ","30","English ",2,315,"2 ","NO",2,"Yes","allQUD"
"Female","","35","English",3,316,"Gun balls fair in this study","Nothing",1,"Confused","allQUD"
"Male","great hit!","24","English",1,317,"Yes","No.",1,"Yes","allQUD"
"Female","","31","English",3,318,"2.25","No",0,"Yes","allQUD"
"Male","","35","English",3,319,"$2.00","no",1,"Yes","allQUD"
"Male","good","35","english",3,320,"234","no",2,"Yes","allQUD"
"Female","good study","32","English",3,321,"3.00","no",2,"Yes","allQUD"
